Query,Precision,Recall,F1-Score,P@10,NDCG
Government,0.01,0.1,0.01818181818181818,0.1,0.08514311764162098
government,0.01,0.1,0.01818181818181818,0.1,0.08514311764162098
business,0.03,0.3,0.05454545454545455,0.3,0.2583297509898471
business,0.02,0.2,0.03636363636363636,0.2,0.1635413866202963
war,0.02,0.2,0.03636363636363636,0.2,0.17993148201117176
war,0.02,0.2,0.03636363636363636,0.2,0.17993148201117176
war,0.01,0.1,0.01818181818181818,0.1,0.11004588314904008
the future ,0.01,0.1,0.01818181818181818,0.1,0.06362078819895171
the future ,0.01,0.1,0.01818181818181818,0.1,0.07336392209936005
,0.0,0.0,0,0.0,0.0
