ArticleId,Text,Category,Processed_Text
2160,wal-mart is sued over rude lyrics the parents of a 13-year-old girl are suing us supermarket giant wal-mart over a cd by rock group evanescence that contains swear words.  the lawsuit  filed in washington county  alleges wal-mart deceived customers by not putting warning labels on the cover. trevin skeens alleges wal-mart knew of the offending word because it had censored it on its music sales website. wal-mart said it was investigating the claims but had no plans to pull the cd. wal-mart has a policy of not stocking cds which carry parental advisory labels. mr skeens said he bought the anywhere but home cd for his daughter and was shocked to hear the swearing when it was played in their car.   i don t want any other families to get this  expecting it to be clean. it needs to be removed from the shelves to prevent other children from hearing it   said mr skeens of brownsville. the lawsuit seeks to force wal-mart to censor the music or remove it from its stores in maryland. it also seeks damages of up to $74 500 (£38 660) for every customer who bought the cd at maryland wal-marts  and also naming record label wind-up records and distributor bmg entertainment in the legal action.  while wal-mart sets high standards  it would not be possible to eliminate every image  word or topic that an individual might find objectionable   wal-mart spokesman guy whitcomb told the herald-mail of hagerstown.,entertainment,wal-mart su rude lyric parent 13-year-old girl su us supermarket giant wal-mart cd rock group evanesc contain swear words. lawsuit file washington counti alleg wal-mart deceiv custom put warn label cover. trevin skeen alleg wal-mart knew offend word censor music sale website. wal-mart said investig claim plan pull cd. wal-mart polici stock cd carri parent advisori labels. mr skeen said bought anywher home cd daughter shock hear swear play car. want famili get expect clean. need remov shelv prevent children hear said mr skeen brownsville. lawsuit seek forc wal-mart censor music remov store maryland. also seek damag $74 500 (£38 660) everi custom bought cd maryland wal-mart also name record label wind-up record distributor bmg entertain legal action. wal-mart set high standard would possibl elimin everi imag word topic individu might find objection wal-mart spokesman guy whitcomb told herald-mail hagerstown.
1360,howard taunts blair over splits tony blair s feud with gordon brown is damaging the way the uk is governed  tory leader michael howard has claimed in a heated prime minister s questions.  mr howard asked:  how can they fight crime when they are fighting each other   that question was later unveiled as the headline for new tory campaign posters. but mr blair dismissed the talk of splits and said people s priorities at the next elections would be on the economic successes achieved by labour.  he can stick up whatever he likes on billboards about something in a book but what the public will concentrate on are the low mortgages  low inflation  low unemployment that we delivered and that he failed to   he said. the chancellor is currently on a high-profile tour of africa to highlight new anti-poverty plans. but before doing so  he insisted he still trusted mr blair  despite claims to the contrary in a new book.  brown s britain  by robert peston  says there is mutual animosity between the two men. it claims mr blair said in november 2003 he would stand down as prime minister before the next election. but he went back on his pledge after support from cabinet allies and suspicion that mr brown was manoeuvring against him  it says.  mr peston s book claimed that mr brown told mr blair:  there is nothing you could ever say to me now that i could ever believe.  mr blair directly denied that quote on wednesday. he again insisted there could be no deals about the premiership but twice declined directly to say whether or not he had offered to quit.  the tory leader countered that such agreements had been struck twice at dinners with the chancellor. he declared:  he is the deals on meals prime minister. no wonder the chancellor is not a happy eater.  he continued:  how can there be discipline in schools when there is no discipline in government  how can they clean up our hospitals when they don t clean up their act   mr blair said he would not respond to  tittle tattle in books  and promised to hail labour s record on the economy  waiting lists and law and order  from now until polling day . later at their poster launch tory co-chairman liam fox said his party would exploit opportunities to show how  juvenile  the prime minister and chancellor were.  labour staged a show of unity at its own poster launch on tuesday  where mr brown was joined by alan milburn  who mr blair controversially put in charge of election planning in place of the chancellor. but liberal democrat leader charles kennedy told bbc news:  the government is clearly split at the top. this kind of cosmetic exercise does not persuade anybody.  later this week mr blair is expected to outline the direction of his party s next election manifesto. the prime minister and chancellor faced backbench discontent at monday s meeting of the parliamentary labour party over claims made mr peston s book.,politics,howard taunt blair split toni blair feud gordon brown damag way uk govern tori leader michael howard claim heat prime minist questions. mr howard asked: fight crime fight question later unveil headlin new tori campaign posters. mr blair dismiss talk split said peopl prioriti next elect would econom success achiev labour. stick whatev like billboard someth book public concentr low mortgag low inflat low unemploy deliv fail said. chancellor current high-profil tour africa highlight new anti-poverti plans. insist still trust mr blair despit claim contrari new book. brown britain robert peston say mutual animos two men. claim mr blair said novemb 2003 would stand prime minist next election. went back pledg support cabinet alli suspicion mr brown manoeuvr says. mr peston book claim mr brown told mr blair: noth could ever say could ever believe. mr blair directli deni quot wednesday. insist could deal premiership twice declin directli say whether offer quit. tori leader counter agreement struck twice dinner chancellor. declared: deal meal prime minister. wonder chancellor happi eater. continued: disciplin school disciplin govern clean hospit clean act mr blair said would respond tittl tattl book promis hail labour record economi wait list law order poll day . later poster launch tori co-chairman liam fox said parti would exploit opportun show juvenil prime minist chancellor were. labour stage show uniti poster launch tuesday mr brown join alan milburn mr blair controversi put charg elect plan place chancellor. liber democrat leader charl kennedi told bbc news: govern clearli split top. kind cosmet exercis persuad anybody. later week mr blair expect outlin direct parti next elect manifesto. prime minist chancellor face backbench discont monday meet parliamentari labour parti claim made mr peston book.
302,fox attacks blair s tory  lies  tony blair lied when he took the uk to war so has no qualms about lying in the election campaign  say the tories.  tory co-chairman liam fox was speaking after mr blair told labour members the tories offered a  hard right agenda . dr fox told bbc radio:  if you are willing to lie about the reasons for going to war  i guess you are going to lie about anything at all.  he would not discuss reports the party repaid £500 000 to lord ashcroft after he predicted an election defeat.  the prime minister ratcheted up labour s pre-election campaigning at the weekend with a helicopter tour of the country and his speech at the party s spring conference. he insisted he did not know the poll date  but it is widely expected to be 5 may.  in what was seen as a highly personal speech in gateshead on sunday  mr blair said:  i have the same passion and hunger as when i first walked through the door of 10 downing street.  he described his relationship with the public as starting euphoric  then struggling to live up to the expectations  and reaching the point of raised voices and  throwing crockery . he warned his supporters against complacency  saying:  it s a fight for the future of our country  it s a fight that for britain and the people of britain we have to win.   mr blair said that whether the public chose michael howard or mr kennedy  it would result in  a tory government not a labour government and a country that goes back and does not move forward . dr fox accused mr blair and other cabinet ministers of telling lies about their opponents  policies and then attacking the lies.  what we learned at the weekend is what labour tactics are going to be and it s going to be fear and smear   he told bbc news. the tory co-chairman attacked labour s six new pledges as  vacuous  and said mr blair was very worried voters would take revenge for his failure to deliver. dr fox refused to discuss weekend newspaper reports that the party had repaid £500 000 to former tory treasurer lord ashcroft after he said the party could not win the election.  we repay loans when they are due but do not comment to individual financial matters   he said  insisting he enjoyed a  warm and constructive  relationship to lord ashcroft.  meanwhile lib dem leader charles kennedy is expected to attack mr blair s words as he begins a nationwide tour on monday. mr kennedy is accelerating lib dem election preparations this week as he visits manchester  liverpool  leicester  somerset  basingstoke  shrewsbury  dorset and torbay. he said:  this is three-party politics. in the northern cities  the contest is between labour and the liberal democrats.  in southern and rural seats - especially in the south west - the principal contenders are the liberal democrats and the conservatives  who are out of the running in scotland and wales.  the lib dems accuse mr blair of making a  touchy-feely  speech to labour delegates which will not help him regain public trust.,politics,fox attack blair tori lie toni blair lie took uk war qualm lie elect campaign say tories. tori co-chairman liam fox speak mr blair told labour member tori offer hard right agenda . dr fox told bbc radio: will lie reason go war guess go lie anyth all. would discuss report parti repaid £500 000 lord ashcroft predict elect defeat. prime minist ratchet labour pre-elect campaign weekend helicopt tour countri speech parti spring conference. insist know poll date wide expect 5 may. seen highli person speech gateshead sunday mr blair said: passion hunger first walk door 10 down street. describ relationship public start euphor struggl live expect reach point rais voic throw crockeri . warn support complac saying: fight futur countri fight britain peopl britain win. mr blair said whether public chose michael howard mr kennedi would result tori govern labour govern countri goe back move forward . dr fox accus mr blair cabinet minist tell lie oppon polici attack lies. learn weekend labour tactic go go fear smear told bbc news. tori co-chairman attack labour six new pledg vacuou said mr blair worri voter would take reveng failur deliver. dr fox refus discuss weekend newspap report parti repaid £500 000 former tori treasur lord ashcroft said parti could win election. repay loan due comment individu financi matter said insist enjoy warm construct relationship lord ashcroft. meanwhil lib dem leader charl kennedi expect attack mr blair word begin nationwid tour monday. mr kennedi acceler lib dem elect prepar week visit manchest liverpool leicest somerset basingstok shrewsburi dorset torbay. said: three-parti politics. northern citi contest labour liber democrats. southern rural seat - especi south west - princip contend liber democrat conserv run scotland wales. lib dem accus mr blair make touchy-fe speech labour deleg help regain public trust.
864,online commons to spark debate online communities set up by the uk government could encourage public debate and build trust  says the institute of public policy research (ippr).  existing services such as ebay could provide a good blueprint for such services  says the think-tank. although the net is becoming part of local and central government  its potential has not yet been fully exploited to create an online  commons  for public debate. in its report  is online community a policy tool   the ippr also asks if id cards could help create safer online communities. adopting an ebay-type model would let communities create their own markets for skills and services and help foster a sense of local identity and connection.  what we are proposing is a civic commons   will davies  senior research fellow at the ippr told the bbc news website.  a single publicly funded and run online community in which citizens can have a single place to go where you can go to engage in diversity and in a way that might have a policy implication - like a pre-legislation discussion.   the idea of a  civic commons  was originally proposed by stephen coleman  professor of e-democracy at the oxford internet institute. the ippr report points to informal  small scale examples of such commons that already exist. it mentions good-practice public initiatives like the bbc s ican project which connects people locally and nationally who want to take action around important issues.  but he adds  government could play a bigger role in setting up systems of trust for online communities too. proposals for id cards  for instance  could also be widened to see if they could be used online. they could provide the basis for a secure authentication system which could have value for peer-to-peer interaction online.  at the moment they have been presented as a way for government to keep tabs on people and ensuring access to public services   said mr davies.  but what has not been explored is how authentication technology may potentially play a role in decentralised online communities.  the key idea to take from systems such as ebay and other online communities is letting members rate each other s reputation by how they treat other members. using a similar mechanism  trust and cooperation between members of virtual and physical communities could be built. this could mean a civic commons would work within a non-market system which lets people who may disagree with one another interact within publicly-recognised rules.  e-government initiatives over the last decade have very much been about putting basic information and service guides online as well as letting people interact with government via the web. many online communities  such as chatrooms  mailing lists  community portals  message boards and weblogs often form around common interests or issues.  with 53% of uk households now with access to the net  the government  suggests mr davies  could act as an intermediary or  middleman  to set up public online places of debate and exchange to encourage more  cosmopolitan politics  and public trust in policy.  government already plays a critical role in helping citizens trade with each other online.  but it should also play a role in helping citizens connect to one another in civic  non-market interactions   said mr davies. there is a role for public bodies like the bbc  libraries  and government to bring people back into public debate again instead of millions of  cliques  talking to each other  he added. the paper is part of the ippr s digital society initiative which is producing a number of conferences and research papers leading up to the publication of a manifesto for a digital britain.,tech,onlin common spark debat onlin commun set uk govern could encourag public debat build trust say institut public polici research (ippr). exist servic ebay could provid good blueprint servic say think-tank. although net becom part local central govern potenti yet fulli exploit creat onlin common public debate. report onlin commun polici tool ippr also ask id card could help creat safer onlin communities. adopt ebay-typ model would let commun creat market skill servic help foster sens local ident connection. propos civic common davi senior research fellow ippr told bbc news website. singl publicli fund run onlin commun citizen singl place go go engag divers way might polici implic - like pre-legisl discussion. idea civic common origin propos stephen coleman professor e-democraci oxford internet institute. ippr report point inform small scale exampl common alreadi exist. mention good-practic public initi like bbc ican project connect peopl local nation want take action around import issues. add govern could play bigger role set system trust onlin commun too. propos id card instanc could also widen see could use online. could provid basi secur authent system could valu peer-to-p interact online. moment present way govern keep tab peopl ensur access public servic said mr davies. explor authent technolog may potenti play role decentralis onlin communities. key idea take system ebay onlin commun let member rate reput treat members. use similar mechan trust cooper member virtual physic commun could built. could mean civic common would work within non-market system let peopl may disagre one anoth interact within publicly-recognis rules. e-govern initi last decad much put basic inform servic guid onlin well let peopl interact govern via web. mani onlin commun chatroom mail list commun portal messag board weblog often form around common interest issues. 53% uk household access net govern suggest mr davi could act intermediari middleman set public onlin place debat exchang encourag cosmopolitan polit public trust policy. govern alreadi play critic role help citizen trade online. also play role help citizen connect one anoth civic non-market interact said mr davies. role public bodi like bbc librari govern bring peopl back public debat instead million cliqu talk added. paper part ippr digit societi initi produc number confer research paper lead public manifesto digit britain.
2184,piero gives rugby perspective bbc sport unveils its new analysis tool piero at the wales v england rugby union match on saturday. but what does it do and how does it work   picture the scene - wales are camped on the england line in the dying seconds of the six nations  opening match. a ball is flung out to winger shane williams who crosses to score the winning try for wales. but the england players are incensed - arguing that the pass was forward and the try should not stand. in the past  sports fans would be left debating the validity of the try for days and weeks to come. but bbc sport s new tool piero could end discussions in minutes.  piero  named after the italian painter and pioneer of perspective piero della francesco  creates a virtual stadium in which virtual players can be tracked from almost any angle. viewers will be able to see precisely how the ball was thrown and by whom  giving a greater depth to the growing wealth of analysis available during sports broadcasts. the technology has been created by bbc research and development for bbc broadcast and bbc outside broadcasts. bbc sport is the first client to start using the system.  in order to keep audiences growing and growing... we need to work closely with people who create technology and innovation to bring sport to life   said andrew thompson  the bbc s head of development  new media and sports news.  we want to appeal to core fans - to give them more analysis  more detail  more definitive answers about key passages of play.  piero works by taking telemetric data from fixed camera positions and sending that data inside the video signal to a pc which can then render the information into 3d graphics.  the more cameras using piero  the better the detail possible out the other end when the data is turned into 3d models.  it allows us to tell the story of a passage of play  tracking individual players across the field  looking at tactics   said andy townsend  from bbc broadcast.  an operator can manipulate the information and provide almost real-time replays of incidents  as well as more in-depth analysis. the  virtual camera  can focus on virtually any aspect of the pitch  giving viewers an insight into action that the camera normally cannot see. piero also provides a wealth of statistical detail - from the length of kicks  to the length of a run of an individual player and the height of a lift at any lineout. mr townsend said sports performance companies were already showing an interest in the technology. bbc broadcast hopes the technology can be sold to third parties interested in using it a number of different ways - from sport broadcasting to entertainment and game shows.,tech,piero give rugbi perspect bbc sport unveil new analysi tool piero wale v england rugbi union match saturday. work pictur scene - wale camp england line die second six nation open match. ball flung winger shane william cross score win tri wales. england player incens - argu pass forward tri stand. past sport fan would left debat valid tri day week come. bbc sport new tool piero could end discuss minutes. piero name italian painter pioneer perspect piero della francesco creat virtual stadium virtual player track almost angle. viewer abl see precis ball thrown give greater depth grow wealth analysi avail sport broadcasts. technolog creat bbc research develop bbc broadcast bbc outsid broadcasts. bbc sport first client start use system. order keep audienc grow growing... need work close peopl creat technolog innov bring sport life said andrew thompson bbc head develop new media sport news. want appeal core fan - give analysi detail definit answer key passag play. piero work take telemetr data fix camera posit send data insid video signal pc render inform 3d graphics. camera use piero better detail possibl end data turn 3d models. allow us tell stori passag play track individu player across field look tactic said andi townsend bbc broadcast. oper manipul inform provid almost real-tim replay incid well in-depth analysis. virtual camera focu virtual aspect pitch give viewer insight action camera normal cannot see. piero also provid wealth statist detail - length kick length run individu player height lift lineout. mr townsend said sport perform compani alreadi show interest technology. bbc broadcast hope technolog sold third parti interest use number differ way - sport broadcast entertain game shows.
1322,us retail sales surge in december us retail sales ended the year on a high note with solid gains in december  boosted by strong car sales.  seasonally adjusted sales rose 1.2% in the month  compared to 0.1% a month earlier  boosted by a surge in shopping just before and after christmas. sales climbed 8% for the year  the best performance since an 8.5% rise in 1999  the commerce department added. the gains were led by a 4.3% jump in auto sales as dealers used enhanced offers to get cars out of showrooms. dealers were forced to cut prices in december to maintain sales growth in a tough quarter when the usual end-of-year holiday sales boom was slow to get started.  the increase in sales during december pushed total spending for the month to $349.4bn (£265.9bn). sales for the year also broke through the $4 trillion mark for the first time - with annual sales coming in at $4.06 trillion however  if automotives are excluded from december s data  retail sales rose just 0.3% on the month. home furnishings and furniture stores also performed well  rising 2.2%. but as well as hitting the shops  more us consumers were going online or using mail order for their purchases - with non-store retailers seeing sales rise by 1.9%. however  analysts said that the strong figures were unlikely to put the federal reserve bank off its current policy of measured interest rate rises.  consumers for now remain willing to spend freely  sustaining the us expansion. given that attitude  the fed remains likely to continue boosting the fed funds rate at upcoming meetings   ubs economist maury harris told reuters.  retail sales are seen as a major part of consumer spending - which in turn makes up two-thirds of economic output in the us. consumer spending has been picking up in recent years after slumping during 2001 and 2002 as the country battled to recover from its first recession of the decade and the world trade centre attacks. during that time  sales grew a lacklustre 2.9% in 2001 and 2.5% a year later. looking ahead  analysts now expect improvement in jobs growth to feed through to the high street with consumer spending remaining strong. the belief comes despite the latest labor department report showing a surprise rise in unemployment. the number of americans filing initial jobless claims jumped to 367 000  the highest rate since september. however  long-term claims slipped to their lowest level since 2001.,business,us retail sale surg decemb us retail sale end year high note solid gain decemb boost strong car sales. season adjust sale rose 1.2% month compar 0.1% month earlier boost surg shop christmas. sale climb 8% year best perform sinc 8.5% rise 1999 commerc depart added. gain led 4.3% jump auto sale dealer use enhanc offer get car showrooms. dealer forc cut price decemb maintain sale growth tough quarter usual end-of-year holiday sale boom slow get started. increas sale decemb push total spend month $349.4bn (£265.9bn). sale year also broke $4 trillion mark first time - annual sale come $4.06 trillion howev automot exclud decemb data retail sale rose 0.3% month. home furnish furnitur store also perform well rise 2.2%. well hit shop us consum go onlin use mail order purchas - non-stor retail see sale rise 1.9%. howev analyst said strong figur unlik put feder reserv bank current polici measur interest rate rises. consum remain will spend freeli sustain us expansion. given attitud fed remain like continu boost fed fund rate upcom meet ub economist mauri harri told reuters. retail sale seen major part consum spend - turn make two-third econom output us. consum spend pick recent year slump 2001 2002 countri battl recov first recess decad world trade centr attacks. time sale grew lacklustr 2.9% 2001 2.5% year later. look ahead analyst expect improv job growth feed high street consum spend remain strong. belief come despit latest labor depart report show surpris rise unemployment. number american file initi jobless claim jump 367 000 highest rate sinc september. howev long-term claim slip lowest level sinc 2001.
930,casual gaming to  take off  games aimed at  casual players  are set to be even bigger in 2005  according to industry experts.  easy-to-play titles that do not require too much time and that are playable online or downloadable to mobile devices will see real growth in the coming year. the trend shows that gaming is not just about big-hitting  games console titles  which appeal more to  hardcore  gamers  said a panel of experts. they were speaking before the annual consumer electronics show in las vegas which showcases the latest trends in gadgets and technologies for 2005. the panel also insisted that casual gamers were not just women  a common misconception which pervades current thinking about gamer demographics.  casual games like poker  pool  bridge  bingo and puzzle-based titles  which can be played online or downloaded onto mobile devices  were  gender neutral  and different genres attracted different players.  greg mills  program director at aol  said its figures suggested that sports-based games attracted 90% of 18 to 24-year-old males  while puzzle games were played by 80% of females. games like bridge tended to attract the over-50 demographic of gamers.  but hardcore gamers who are more attracted to blockbuster gamers which usually require hi-spec pcs  like half-life 2  or halo 2 on xbox  also liked to have a different type of gaming experience.  when hardcore gamers are not playing halo  they are playing poker and pool  based on our research   said geoff graber  director of yahoo games  which attracts about 12 million gamers a month.  with the growth of powerful pc technology and ownership  broadband take-up  portable players and mobile devices  as well as interactive tv  casual gaming is shaping up to be big business in 2005  according to the panel. the focus for the coming year should be about attracting third-party developers into the field to offer more innovative and multiplayer titles  they agreed.  we are at a time where we are on the verge of something much bigger   said mr graber.  casual games will get into their stride in 2005  will be really big in 2006 and will be about community.  with more people finding more to do with their gadgets and high-speed connections  casual games would start to open up the world of gaming as a form of mass-market entertainment to more people. key to these types of titles is the chance they give people who may not see themselves as gamers to dip in and out of games when they liked.  portal sites which offer casual games  like aol  yahoo  and realarcade  as well as other games-on-demand services  allow people to build up buddy lists so they can return and play against the same people. this aspect of  community  is crucial for gamers who just want to have quick access to free or cheap games without committing long periods of time immersed in £30 to £40 console or pc titles  said the panel. about 120 000 people are expected to attend the ces trade show which stretches over more than 1.5 million square feet and which officially runs from 6 to 9 january. the main theme is how new devices are getting better at talking to each other  allowing people to enjoy digital content  like audio  video and images  when they want  and where they want.,tech,casual game take game aim casual player set even bigger 2005 accord industri experts. easy-to-play titl requir much time playabl onlin download mobil devic see real growth come year. trend show game big-hit game consol titl appeal hardcor gamer said panel experts. speak annual consum electron show la vega showcas latest trend gadget technolog 2005. panel also insist casual gamer women common misconcept pervad current think gamer demographics. casual game like poker pool bridg bingo puzzle-bas titl play onlin download onto mobil devic gender neutral differ genr attract differ players. greg mill program director aol said figur suggest sports-bas game attract 90% 18 24-year-old male puzzl game play 80% females. game like bridg tend attract over-50 demograph gamers. hardcor gamer attract blockbust gamer usual requir hi-spec pc like half-lif 2 halo 2 xbox also like differ type game experience. hardcor gamer play halo play poker pool base research said geoff graber director yahoo game attract 12 million gamer month. growth power pc technolog ownership broadband take-up portabl player mobil devic well interact tv casual game shape big busi 2005 accord panel. focu come year attract third-parti develop field offer innov multiplay titl agreed. time verg someth much bigger said mr graber. casual game get stride 2005 realli big 2006 community. peopl find gadget high-spe connect casual game would start open world game form mass-market entertain people. key type titl chanc give peopl may see gamer dip game liked. portal site offer casual game like aol yahoo realarcad well games-on-demand servic allow peopl build buddi list return play people. aspect commun crucial gamer want quick access free cheap game without commit long period time immers £30 £40 consol pc titl said panel. 120 000 peopl expect attend ce trade show stretch 1.5 million squar feet offici run 6 9 january. main theme new devic get better talk allow peopl enjoy digit content like audio video imag want want.
1314,ring of fire hit co-writer dies merle kilgore  co-writer of the country hit ring of fire  has died of congestive heart failure aged 70.  he started out as a singer and songwriter before going into music management  looking after country star hank williams jr. he wrote ring of fire with june carter cash  the future wife of johnny cash who went on to score his most popular hit with the track. kilgore had heart surgery in 2004 and was also diagnosed with lung cancer. his death has been attributed to treatment he was undergoing for the cancer. his first self-penned top 10 hit was dear mama in 1959.  one of the first songs he wrote for other artists was wolverton mountain  which sold 10 million copies when recorded by claude king. he then wrote ring of fire with june carter cash  which was about her unrequited love for johnny  who she later married. it was first recorded by her younger sister anita carter before johnny went on to make such a success of it. june carter cash previously said it upset her husband when kilgore talked about the song without crediting her and believed he should not have been credited on it. last year  kilgore turned up an awards dinner in a wheelchair expecting to honour hank williams jr  but instead he was the surprise recipient of a lifetime achievement award from the international entertainment buyers association.,entertainment,ring fire hit co-writ die merl kilgor co-writ countri hit ring fire die congest heart failur age 70. start singer songwrit go music manag look countri star hank william jr. wrote ring fire june carter cash futur wife johnni cash went score popular hit track. kilgor heart surgeri 2004 also diagnos lung cancer. death attribut treatment undergo cancer. first self-pen top 10 hit dear mama 1959. one first song wrote artist wolverton mountain sold 10 million copi record claud king. wrote ring fire june carter cash unrequit love johnni later married. first record younger sister anita carter johnni went make success it. june carter cash previous said upset husband kilgor talk song without credit believ credit it. last year kilgor turn award dinner wheelchair expect honour hank william jr instead surpris recipi lifetim achiev award intern entertain buyer association.
140,rich grab half colombia poor fund half of the money put aside by the colombian government to help the country s poor is benefiting people who do not need it  a study has found.  a total of 24.2 trillion pesos ($10.2bn; £5.5bn) is earmarked for subsidies for the poor  the government department for planning said. but it also found 12.1 trillion pesos was going to the richest part of the population  rather than to those in need. sound distribution of the cash could cut poverty levels to 36% from 53%  the government believes.  resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution   deputy planning director jose leibovich said.  colombia has a population of about 44 million and half lives below poverty line. however  some large properties are paying less in tax as they are situated inside poor areas  which benefit from cheaper utilities such as electricity and water  government research found. government expenditure in areas such as pensions  public services  education  property and health should be revised  mr leibovich said. he added that the government is now examining the report  but warned there would be no easy solution to the problem. with a good distribution of such subsidies and economic growth of just 2%  by 2019 poverty could fall as low as 15.3%  he said.,business,rich grab half colombia poor fund half money put asid colombian govern help countri poor benefit peopl need studi found. total 24.2 trillion peso ($10.2bn; £5.5bn) earmark subsidi poor govern depart plan said. also found 12.1 trillion peso go richest part popul rather need. sound distribut cash could cut poverti level 36% 53% govern believes. resourc enough reduc poverti need tax reform better distribut deputi plan director jose leibovich said. colombia popul 44 million half live poverti line. howev larg properti pay less tax situat insid poor area benefit cheaper util electr water govern research found. govern expenditur area pension public servic educ properti health revis mr leibovich said. ad govern examin report warn would easi solut problem. good distribut subsidi econom growth 2% 2019 poverti could fall low 15.3% said.
538,santy worm makes unwelcome visit thousands of website bulletin boards have been defaced by a virus that used google to spread across the net.  the santy worm first appeared on 20 december and within 24 hours had successfully hit more than 40 000 websites. the malicious program exploits a vulnerability in the widely used phpbb software. santy s spread has now been stopped after google began blocking infected sites searching for new victims.  the worm replaces chat forums with a webpage announcing that the site had been defaced by the malicious program. soon after being infected  sites hit by the worm started randomly searching for other websites running the vulnerable phpbb software. once google started blocking these search queries the rate of infection tailed off sharply. a message sent to finnish security firm f-secure by google s security team said:  while a seven hour response for something like this is not outrageous  we think we can and should do better.   we will be reviewing our procedures to improve our response time in the future to similar problems   the google team said. security firms estimate that about 1m websites run their discussion groups and forums with the open source phpbb program. the worst of the attack now seems to be over as a search conducted on the morning of the 22 december produced only 1 440 hits for sites showing the text used in the defacement message. people using the sites hit by santy will not be affected by the worm. santy is not the first malicious program to use google to help it spread. in july a variant of the mydoom virus slowed down searches on google as the program flooded the search site with queries looking for new e-mail addresses to send itself to.,tech,santi worm make unwelcom visit thousand websit bulletin board defac viru use googl spread across net. santi worm first appear 20 decemb within 24 hour success hit 40 000 websites. malici program exploit vulner wide use phpbb software. santi spread stop googl began block infect site search new victims. worm replac chat forum webpag announc site defac malici program. soon infect site hit worm start randomli search websit run vulner phpbb software. googl start block search queri rate infect tail sharply. messag sent finnish secur firm f-secur googl secur team said: seven hour respons someth like outrag think better. review procedur improv respons time futur similar problem googl team said. secur firm estim 1m websit run discuss group forum open sourc phpbb program. worst attack seem search conduct morn 22 decemb produc 1 440 hit site show text use defac message. peopl use site hit santi affect worm. santi first malici program use googl help spread. juli variant mydoom viru slow search googl program flood search site queri look new e-mail address send to.
